core-ref-index-at-wl-1.55um,clad-ref-index,"no-of-
rings",diaBYpitch,"pitch
(um)","wl
(um)",neff,"Aeff
(um^2)","dispersion
(ps/km.nm)","conf-loss
(dB/cm)","conf-loss-in-log10
(dB/cm)",,,,,,,,,,,
1.444,1,5,0.6,0.8,1.58333,1.33461,4.52888,-523.617,52.4559,1.719794343,,,,,,,,,,,
1.444,1,5,0.6,0.8,1.41322,1.34663,2.69737,-541.744,10.5519,1.023330667,,,,,,,,,,,
1.444,1,5,0.6,0.8,1.27612,1.35868,1.93463,-445.856,1.70221,0.231013138,,,,,,,,,,,
1.444,1,5,0.6,0.8,1.16327,1.37008,1.55279,-317.074,0.249548,-0.602845906,,,,,,,,,,,
1.444,1,5,0.6,0.8,1.06875,1.38044,1.33252,-197.534,0.0365308,-1.437340817,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.988439,1.38965,1.19217,-99.1345,0.00566158,-2.247062352,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.919355,1.39773,1.09602,-22.2678,0.00095465,-3.020155823,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.859296,1.40479,1.02641,36.2671,0.000176733,-3.75268235,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.806604,1.41095,0.973765,80.2738,3.60E-05,-4.444118728,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.76,1.41634,0.932556,113.147,8.03E-06,-5.095239567,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.718487,1.42105,0.899381,137.605,1.96E-06,-5.707376263,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.681275,1.4252,0.872059,155.733,5.22E-07,-6.282149826,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.647727,1.42886,0.84913,169.1,1.51E-07,-6.821368325,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.617329,1.4321,0.829585,178.872,4.71E-08,-7.326956964,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.589655,1.43498,0.812705,185.918,1.58E-08,-7.800908836,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.564356,1.43755,0.797961,190.88,5.69E-09,-8.245229045,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.541139,1.43985,0.784961,194.242,2.18E-09,-8.661896265,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.519757,1.44192,0.773402,196.371,8.85E-10,-9.052834486,,,,,,,,,,,
1.444,1,5,0.6,0.8,0.5,1.44378,0.76305,197.538,3.80E-10,-9.419883953,,,,,,,,,,,
1.444,1,5,0.6,1,1.8,1.34441,4.5085,-439.526,11.4012,1.056950564,,,,,,,,,,,
1.444,1,5,0.6,1,1.58333,1.3595,2.95806,-349.603,1.17749,0.070957228,,,,,,,,,,,
1.444,1,5,0.6,1,1.41322,1.37353,2.29287,-220.323,0.10598,-0.974776085,,,,,,,,,,,
1.444,1,5,0.6,1,1.27612,1.38585,1.94409,-109.29,0.00986938,-2.005710129,,,,,,,,,,,
1.444,1,5,0.6,1,1.16327,1.39638,1.73484,-25.905,0.00102947,-2.987386305,,,,,,,,,,,
1.444,1,5,0.6,1,1.06875,1.40528,1.59688,33.602,0.00012388,-3.906998803,,,,,,,,,,,
1.444,1,5,0.6,1,0.988439,1.41279,1.49939,75.1786,0.000017313,-4.761627671,,,,,,,,,,,
1.444,1,5,0.6,1,0.919355,1.41914,1.42683,103.957,2.80173E-06,-5.55257372,,,,,,,,,,,
1.444,1,5,0.6,1,0.859296,1.42454,1.37062,123.761,5.21281E-07,-6.282928104,,,,,,,,,,,
1.444,1,5,0.6,1,0.806604,1.42914,1.32569,137.286,1.10533E-07,-6.956508043,,,,,,,,,,,
1.444,1,5,0.6,1,0.76,1.4331,1.28889,146.401,2.6462E-08,-7.577377335,,,,,,,,,,,
1.444,1,5,0.6,1,0.718487,1.43653,1.25814,152.387,7.08572E-09,-8.149616013,,,,,,,,,,,
1.444,1,5,0.6,1,0.681275,1.4395,1.23202,156.14,2.10278E-09,-8.677206162,,,,,,,,,,,
1.444,1,5,0.6,1,0.647727,1.4421,1.20954,158.28,6.8555E-10,-9.163960865,,,,,,,,,,,
1.444,1,5,0.6,1,0.617329,1.44439,1.18996,159.245,2.43509E-10,-9.613484983,,,,,,,,,,,
1.444,1,5,0.6,1,0.589655,1.44641,1.17275,159.35,9.35066E-11,-10.02915773,,,,,,,,,,,
1.444,1,5,0.6,1,0.564356,1.44821,1.1575,158.822,3.85382E-11,-10.41410857,,,,,,,,,,,
1.444,1,5,0.6,1,0.541139,1.44981,1.14388,157.828,1.69347E-11,-10.77122249,,,,,,,,,,,
1.444,1,5,0.6,1,0.519757,1.45124,1.13163,156.488,7.88615E-12,-11.10313497,,,,,,,,,,,
1.444,1,5,0.6,1,0.5,1.45252,1.12057,154.897,3.87046E-12,-11.41223742,,,,,,,,,,,
1.444,1,5,0.6,1.2,1.8,1.36595,3.71901,-241.962,0.314931,-0.501784588,,,,,,,,,,,
1.444,1,5,0.6,1.2,1.58333,1.38171,2.93189,-118.538,0.0176578,-1.753063406,,,,,,,,,,,
1.444,1,5,0.6,1.2,1.41322,1.39488,2.52691,-28.3722,0.0011279,-2.947729403,,,,,,,,,,,
1.444,1,5,0.6,1.2,1.27612,1.40566,2.285,31.998,8.78E-05,-4.056602939,,,,,,,,,,,
1.444,1,5,0.6,1.2,1.16327,1.41445,2.12498,71.1168,8.46E-06,-5.072874061,,,,,,,,,,,
1.444,1,5,0.6,1.2,1.06875,1.42164,2.01118,96.1496,1.00E-06,-5.998569188,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.988439,1.42757,1.92587,112.027,1.45E-07,-6.839174456,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.919355,1.43251,1.85933,121.941,2.50E-08,-7.601424649,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.859296,1.43665,1.80584,127.927,5.10E-09,-8.292366813,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.806604,1.44015,1.76182,131.295,1.21E-09,-8.918926463,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.76,1.44313,1.72489,132.896,3.25E-10,-9.487697246,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.718487,1.4457,1.69344,133.285,9.89E-11,-10.00483357,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.681275,1.44792,1.6663,132.842,3.34E-11,-10.47599355,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.647727,1.44985,1.64264,131.82,1.24E-11,-10.90631572,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.617329,1.45154,1.6218,130.4,5.01E-12,-11.30041113,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.589655,1.45303,1.60331,128.706,2.18E-12,-11.662393,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.564356,1.45434,1.58678,126.827,1.01E-12,-11.99589368,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.541139,1.45552,1.57192,124.829,4.96E-13,-12.30410174,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.519757,1.45656,1.55847,122.758,2.57E-13,-12.58981516,,,,,,,,,,,
1.444,1,5,0.6,1.2,0.5,1.4575,1.54625,120.648,1.39E-13,-12.85546938,,,,,,,,,,,
1.444,1,5,0.6,1.4,1.8,1.38476,3.83856,-84.8364,0.00803155,-2.095200633,,,,,,,,,,,
1.444,1,5,0.6,1.4,1.58333,1.39925,3.29281,-0.379817,0.000345182,-3.461951859,,,,,,,,,,,
1.444,1,5,0.6,1.4,1.41322,1.41069,2.97881,49.0194,1.96668E-05,-4.706266299,,,,,,,,,,,
1.444,1,5,0.6,1.4,1.27612,1.41973,2.77527,78.404,1.49569E-06,-5.82515841,,,,,,,,,,,
